qid	cls	verdict	note
Q0695	J6	OK	
Q0696	J6	OK	
Q0697	J7	OK	
Q0698	J7	OK	
Q0699	J7	OK	
Q0700	J7	OK	
Q0701	J8	OK	
Q0702	J8	OK	
Q0703	J8	OK	
Q0704	J8	OK	
Q0705	J8	OK	
Q0706	J8	OK	
Q0707	J8	OK	
Q0708	J8	OK	
Q0709	J8	OK	
Q0710	J9	OK	
Q0711	J9	OK	
Q0712	J9	OK	
Q0713	J9	OK	
Q0714	K1	STALE	FIXED, then CORRECTED by the owner - discards are real: effects discard cards from the board into a pile that persists to the next show. Re-expressed on discard events, not on undos
Q0715	K1	STALE	FIXED - "the next player must discard" in a solitaire game. Re-expressed on refills forced by having no legal placement
Q0716	K1	STALE	FIXED, then CORRECTED - re-expressed on discard events (restraint = no card discarded from the board)
Q0717	K1	STALE	FIXED, then CORRECTED - loses mult per card discarded from the board
Q0718	K1	OK	
Q0719	K1	OK	subagent STALE, overturned - The Mulligan GRANTS a discard action rather than assuming a budget exists, which is legal
Q0720	K2	OK	
Q0721	K2	OK	
Q0722	K2	OK	
Q0723	K2	OK	
Q0724	K2	OK	
Q0725	K2	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0726	K3	OK	
Q0727	K3	OK	
Q0728	K3	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0729	K3	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0730	K4	STALE	FIXED, then CORRECTED - extra cards traded against discards: none allowed, or discarded cards destroyed instead of kept
Q0731	K4	STALE	FIXED - "2 placements instead of 3" was the three-Submit show, and my own earlier rewrite made it nonsense ("scores 2 lines before its goal is checked"). Now the show ends after a fixed number of placements
Q0732	K4	OK	
Q0733	K4	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0734	K5	OK	
Q0735	K5	OK	
Q0736	K5	OK	
Q0737	K5	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0738	K6	OK	
Q0739	K6	OK	
Q0740	K6	STALE	FIXED - rewrite damage, "drops each placement rather than each placement". Now per Entrance refill
Q0741	K6	STALE	FIXED - rewrite damage, "per placement rather than per placement". Now per Entrance refill | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0742	K6	OK	
Q0743	K6	OK	
Q0744	K7	OK	
Q0745	K7	OK	
Q0746	K7	OK	
Q0747	K7	OK	
Q0748	K7	OK	
Q0749	K7	OK	
Q0750	K7	OK	
Q0751	K8	OK	
Q0752	K8	OK	
Q0753	K8	OK	
Q0754	K8	OK	
Q0755	K8	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0756	K8	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0757	K8	STALE	FIXED - "the combo resets between them"; the combo never resets. (b) now pays the deferred columns at half value | BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0758	K8	OK	
Q0759	K9	OK	
Q0760	K9	OK	
Q0761	K9	STALE	FIXED, then CORRECTED - the unused ACTS measured how early you stopped; now the refills left in the deck, not undos
Q0762	K9	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0763	K10	OK	
Q0764	K10	OK	
Q0765	K10	OK	
Q0766	K10	STALE	FIXED - rewrite damage, "one card per placement" means every card. Now per Entrance refill, fixed across all eight occurrences in the corpus
Q0767	K11	OK	
Q0768	K11	OK	
Q0769	K11	OK	
Q0770	K11	OK	
Q0771	K11	OK	
Q0772	L1	OK	
Q0773	L1	OK	
Q0774	L1	OK	
Q0775	L1	OK	
Q0776	L1	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0777	L1	OK	
Q0778	L1	OK	
Q0779	L1	OK	
Q0780	L1	OK	
Q0781	L1	OK	
Q0782	L2	OK	
Q0783	L2	OK	
Q0784	L2	OK	
Q0785	L2	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0786	L2	OK	
Q0787	L3	OK	
Q0788	L3	OK	
Q0789	L3	OK	
Q0790	L3	OK	
Q0791	L4	OK	
Q0792	L4	OK	
Q0793	L4	OK	
Q0794	L4	OK	
Q0795	L5	OK	
Q0796	L5	OK	
Q0797	L5	OK	
Q0798	L5	OK	
Q0799	L5	OK	
Q0800	L5	OK	
Q0801	L5	OK	
Q0802	L6	OK	
Q0803	L6	OK	
Q0804	L6	RESCOPE	FIXED - "past the amount you needed" had no per-line target; re-expressed against the show goal, the only target that exists
Q0805	L6	OK	
Q0806	L6	OK	
Q0807	L6	OK	
Q0808	L6	OK	
Q0809	L7	OK	
Q0810	L7	OK	
Q0811	L7	OK	
Q0812	L7	OK	
Q0813	L8	OK	
Q0814	L8	OK	
Q0815	L8	OK	
Q0816	L8	OK	
Q0817	L9	OK	
Q0818	L9	OK	
Q0819	L9	OK	
Q0820	L9	OK	
Q0821	L9	OK	
Q0822	L9	OK	
Q0823	L9	OK	
Q0824	L9	OK	
Q0825	L9	OK	
Q0826	L9	OK	
Q0827	L9	OK	
Q0828	L10	OK	
Q0829	L10	OK	
Q0830	L10	OK	
Q0831	L10	OK	
Q0832	L10	OK	
Q0833	L10	OK	
Q0834	L11	OK	
Q0835	L11	OK	
Q0836	L11	OK	
Q0837	L11	OK	
Q0838	L11	OK	
Q0839	M1	OK	
Q0840	M1	OK	
Q0841	M1	OK	
Q0842	M1	OK	
Q0843	M1	OK	
Q0844	M1	OK	
Q0845	M1	OK	
Q0846	M1	OK	
Q0847	M1	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0848	M1	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0849	M1	OK	
Q0850	M2	OK	
Q0851	M2	OK	
Q0852	M2	OK	
Q0853	M2	OK	
Q0854	M2	OK	
Q0855	M2	OK	
Q0856	M2	OK	
Q0857	M3	OK	
Q0858	M3	OK	
Q0859	M3	OK	
Q0860	M3	OK	
Q0861	M3	OK	
Q0862	M4	OK	
Q0863	M4	STALE	FIXED - my spot-check, missed by the auditor: naming a cell before every single-card placement was per ACT. Now per Entrance refill
Q0864	M4	OK	
Q0865	M4	OK	
Q0866	M5	RESCOPE	FIXED - uses "mark" for a targeting tag, which now collides with the board plan. Renamed to "tag" in the options
Q0867	M5	OK	
Q0868	M5	OK	
Q0869	M5	RESCOPE	FIXED - same "mark" collision; now "tag"
Q0870	M6	OK	
Q0871	M6	OK	
Q0872	M6	OK	
Q0873	M6	OK	
Q0874	M6	OK	
Q0875	M6	OK	
Q0876	M6	OK	
Q0877	M6	OK	
Q0878	M6	OK	
Q0879	M6	OK	
Q0880	M7	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0881	M7	OK	
Q0882	M7	OK	
Q0883	M7	OK	
Q0884	M7	STALE	FIXED - "costs one placement"; a placement is not a currency. Now costs an Entrance card
Q0885	M8	OK	
Q0886	M8	OK	
Q0887	M8	OK	
Q0888	M8	OK	
Q0889	O1	OK	
Q0890	O1	OK	
Q0891	O1	OK	
Q0892	O1	OK	
Q0893	O1	OK	
Q0894	O2	OK	
Q0895	O2	OK	
Q0896	O2	OK	
Q0897	O2	OK	
Q0898	O2	OK	
Q0899	O2	OK	
Q0900	O3	OK	
Q0901	O3	OK	
Q0902	O3	OK	lines do not "clear"; (a) reworded to "complete without scoring"
Q0903	O3	STALE	FIXED - my spot-check: "holds and pays when a placement finishes resolving" is a no-op, lines already resolve inside the placement. Now holds to the next Entrance refill
Q0904	O3	OK	
Q0905	O3	OK	
Q0906	O4	OK	
Q0907	O4	OK	
Q0908	O4	OK	
Q0909	O4	OK	
Q0910	O4	OK	
Q0911	O4	OK	
Q0912	O4	OK	
Q0913	O4	OK	
Q0914	O4	OK	
Q0915	O4	OK	
Q0916	O4	OK	
Q0917	O4	OK	
Q0918	O4	OK	
Q0919	O4	OK	
Q0920	O4	OK	
Q0921	O4	OK	
Q0922	O4	OK	
Q0923	O4	OK	
Q0924	O5	OK	
Q0925	O5	STALE	FIXED - "Next refreshes the entrance"; there is no Next button, the Entrance refills itself. Now each refill deals twice
Q0927	O5	ALREADY	FIXED - option (b) "a third button that undoes the last placement"; Undo already exists. (b) now re-deals an Entrance slot, and both options name the real buttons
Q0928	O6	OK	
Q0929	O6	OK	
Q0930	O6	OK	
Q0931	O6	OK	
Q0932	O6	OK	
Q0933	O7	OK	
Q0934	O7	OK	
Q0935	O7	OK	
Q0936	O7	OK	
Q0937	O8	OK	
Q0938	O8	OK	
Q0939	O8	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0940	O8	OK	
Q0941	P1	OK	
Q0942	P1	OK	
Q0943	P1	OK	
Q0944	P1	OK	
Q0945	P2	OK	
Q0946	P2	OK	
Q0947	P2	OK	
Q0948	P2	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q0949	P2	OK	
Q0950	P2	OK	
Q0951	P2	OK	
Q0952	P2	STALE	FIXED - "stays on the board after submission"; there is no Submit and the board is never cleared mid-show. What the leader now outlives is the show: it starts each show already placed
Q0953	P2	OK	
Q0954	P2	OK	
Q0955	P2	OK	
Q0956	P2	OK	
Q0957	P2	OK	
Q0958	P2	OK	
Q0959	P2	OK	
Q0960	P3	OK	
Q0961	P3	OK	
Q0962	P3	OK	
Q0963	P3	OK	
Q0964	P4	OK	
Q0965	P4	OK	
Q0966	P4	OK	
Q0967	P4	OK	
Q0968	P5	OK	
Q0969	P5	OK	
Q0970	P5	OK	
Q0971	P5	OK	
Q0972	P5	OK	
Q0973	P5	OK	
Q0974	P5	OK	
Q0975	P6	OK	
Q0976	P6	OK	
Q0977	P6	OK	
Q0978	P6	OK	
Q0979	P6	OK	
Q0980	P6	OK	
Q0981	P6	OK	
Q0982	P6	OK	
Q0983	P6	OK	
Q0984	P6	OK	
Q0985	P6	OK	
Q0986	P6	OK	
Q0987	P6	OK	
Q0988	P6	OK	
Q0989	P6	OK	
Q0990	P7	OK	
Q0991	P7	OK	
Q0992	P7	OK	
Q0993	P7	OK	
Q0994	P7	OK	
Q0995	P7	OK	
Q0996	P7	OK	
Q0998	P7	OK	
Q0999	P8	OK	
Q1000	P8	OK	
Q1001	P8	OK	
Q1002	P8	OK	
Q1003	P9	OK	
Q1004	P9	OK	
Q1005	P9	RESCOPE	FIXED - "mark one empty cell" collides with the board plan; all three options now "claim"
Q1006	P9	STALE	FIXED - my spot-check: one card per placement cannot be one of EACH class. Now per Entrance refill
Q1007	P10	OK	
Q1008	P10	OK	
Q1009	P10	OK	
Q1010	P10	OK	
Q1011	P10	OK	
Q1012	P10	OK	
Q1013	P10	OK	
Q1014	P10	OK	
Q1015	P10	OK	
Q1016	P10	OK	
Q1017	P10	OK	
Q1018	Q1	OK	
Q1019	Q1	OK	
Q1020	Q1	OK	
Q1021	Q1	OK	
Q1022	Q1	OK	
Q1023	Q1	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1024	Q1	OK	
Q1025	Q1	OK	
Q1026	Q2	OK	
Q1027	Q2	OK	
Q1028	Q2	OK	
Q1029	Q2	OK	
Q1030	Q2	OK	
Q1031	Q2	OK	
Q1032	Q2	OK	
Q1033	Q2	OK	
Q1034	Q2	OK	
Q1035	Q2	OK	
Q1036	Q3	OK	
Q1037	Q3	OK	
Q1038	Q3	OK	
Q1039	Q3	OK	
Q1040	Q3	OK	
Q1041	Q3	OK	
Q1042	Q3	OK	
Q1043	Q3	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1044	Q3	OK	
Q1045	Q4	OK	
Q1046	Q4	OK	
Q1047	Q4	OK	
Q1048	Q4	OK	
Q1049	Q4	OK	
Q1050	Q4	OK	
Q1051	Q4	OK	
Q1052	Q4	OK	
Q1053	Q5	OK	
Q1054	Q5	STALE	FIXED - my own rewrite garbled it to "until the a placement finishes resolving"
Q1055	Q5	OK	
Q1056	Q5	OK	
Q1057	Q5	OK	
Q1058	Q5	OK	
Q1059	Q5	OK	
Q1060	Q5	OK	
Q1061	Q6	OK	
Q1062	Q6	OK	
Q1063	Q6	OK	
Q1064	Q6	OK	
Q1065	Q6	OK	
Q1066	Q6	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1067	Q6	OK	
Q1068	Q6	OK	
Q1069	Q7	OK	
Q1070	Q7	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1071	Q7	OK	
Q1072	Q7	OK	
Q1073	Q7	OK	
Q1074	Q7	OK	
Q1075	Q8	OK	
Q1076	Q8	OK	
Q1077	Q8	OK	
Q1078	Q8	OK	
Q1079	Q8	OK	
Q1080	Q8	OK	
Q0997	P7	DUPLICATE	RETIRED IN PLACE - same space as Q0941 (two/four/six class tiers)
Q1081	R1	OK	
Q1082	R1	OK	
Q1083	R1	OK	
Q1084	R1	OK	
Q1085	R1	OK	
Q1086	R1	OK	
Q1087	R1	OK	
Q1088	R2	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1089	R2	OK	
Q1090	R2	OK	
Q1091	R2	OK	
Q1092	R3	OK	
Q1093	R3	OK	
Q1094	R3	OK	
Q1095	R3	OK	
Q1096	R4	STALE	FIXED - "whatever you play or discard"; there is no discard action. The forced card is now the next one placed
Q1097	R4	OK	
Q1098	R4	STALE	FIXED - rewrite damage, "the first card of each placement". Now per Entrance refill
Q1099	R4	OK	
Q1100	R4	STALE	FIXED - "every placement must place exactly five cards"; a placement is one card, and placing all five of a refill is already the default. Re-expressed as sharper demands on the refill
Q1101	R5	STALE	FIXED - a harder hand named every single card cannot be met; per Entrance refill. A surviving "act" in (c) removed
Q1102	R5	STALE	FIXED - a hand cannot be scored before the second single-card placement. Now per Entrance refill
Q1103	R5	STALE	FIXED - my spot-check: a sum banked before the show's SECOND single-card placement is impossible. Now per Entrance refill
Q1104	R5	STALE	FIXED - a named hand gating each single card; per Entrance refill
Q1105	R6	OK	
Q1106	R6	OK	
Q1107	R6	CONTRADICTS	RETIRED IN PLACE - my spot-check: proposes overscore, which a standing owner ruling retired (punishing overperformance breeds sandbagging)
Q1108	R6	OK	
Q1109	R6	OK	
Q1110	R6	OK	
Q1111	R6	RESCOPE	FIXED - "multiplier for every hand"; the per-line mult that exists now is the board plan's bonus mult, so (a) names that
Q1112	R6	OK	
Q1113	R6	OK	
Q1114	R6	OK	
Q1115	R7	OK	
Q1116	R7	OK	
Q1117	R7	OK	
Q1118	R7	OK	
Q1119	R7	OK	
Q1120	R7	OK	
Q1121	R7	OK	
Q1122	R7	OK	
Q1123	R8	OK	
Q1124	R8	OK	
Q1125	R8	OK	
Q1126	R8	OK	
Q1127	R8	OK	
Q1128	R8	OK	
Q1129	R8	OK	
Q1130	R9	OK	
Q1131	R9	OK	
Q1132	R9	OK	
Q1133	R9	OK	
Q1134	S1	OK	
Q1135	S1	OK	
Q1136	S1	OK	
Q1137	S1	OK	
Q1138	S2	OK	
Q1139	S2	OK	
Q1140	S2	OK	
Q1141	S2	OK	
Q1142	S2	OK	
Q1143	S2	OK	
Q1144	S2	OK	
Q1145	S2	OK	
Q1146	S2	OK	
Q1147	S2	OK	
Q1148	S2	OK	
Q1149	S3	OK	
Q1150	S3	OK	
Q1151	S3	OK	
Q1152	S3	OK	
Q1153	S3	OK	
Q1154	S3	OK	
Q1155	S3	OK	
Q1156	S4	OK	
Q1157	S4	OK	
Q1158	S4	OK	
Q1159	S4	OK	
Q1160	S4	STALE	FIXED - "one placement instead of three" was the three-act show
Q1161	S4	OK	
Q1162	S4	OK	
Q1163	S4	OK	
Q1164	S4	OK	
Q1165	S4	OK	
Q1166	S4	OK	
Q1167	S4	OK	
Q1168	S4	OK	
Q1169	S4	OK	
Q1170	S4	OK	
Q1171	S4	OK	
Q1172	S5	OK	
Q1173	S5	OK	
Q1174	S5	OK	
Q1175	S5	OK	
Q1176	S5	OK	
Q1177	S5	OK	
Q1178	S5	OK	
Q1179	S5	OK	
Q1180	S5	OK	
Q1181	S5	OK	
Q1182	S5	OK	
Q1183	S5	OK	
Q1184	S5	OK	
Q1185	S5	OK	
Q1186	S5	OK	
Q1187	S5	OK	
Q1188	S5	OK	
Q1189	S5	OK	
Q1190	S5	OK	
Q1191	S5	OK	
Q1192	S5	OK	
Q1193	S5	OK	
Q1194	S5	OK	
Q1195	S5	OK	
Q1196	S5	OK	
Q1197	S5	OK	
Q1198	S6	OK	
Q1199	S6	ALREADY	FIXED - "deals its whole Entrance at once instead of five at a time" restates the default; Fantasyland's point is seeing MORE cards, so ten
Q1200	S6	OK	
Q1201	S6	OK	
Q1202	S6	OK	
Q1203	S6	OK	
Q1204	S6	OK	
Q1205	S6	OK	
Q1206	S6	OK	
Q1207	S6	OK	
Q1208	S6	OK	
Q1209	S6	OK	
Q1210	S6	OK	
Q1211	S6	OK	
Q1212	S7	OK	
Q1213	S7	OK	
Q1214	S7	OK	
Q1215	S7	OK	
Q1216	S8	OK	
Q1217	S8	OK	
Q1218	S8	OK	
Q1219	S8	OK	
Q1220	S8	OK	
Q1221	S8	OK	
Q1222	S9	OK	
Q1223	S9	OK	
Q1224	S9	OK	
Q1225	S9	STALE	FIXED - a per-placement target does not exist; the only target is the show's. Now carries into the next show
Q1226	T1	OK	
Q1227	T1	OK	
Q1228	T1	OK	
Q1229	T1	OK	
Q1230	T1	OK	
Q1231	T1	OK	
Q1232	T2	OK	
Q1233	T2	OK	
Q1234	T2	OK	
Q1235	T2	OK	
Q1236	T2	OK	
Q1237	T2	OK	
Q1238	T2	OK	
Q1239	T3	OK	
Q1240	T3	OK	
Q1241	T3	OK	
Q1242	T3	OK	
Q1243	T3	OK	
Q1244	T3	OK	
Q1245	T3	OK	
Q1246	T3	OK	
Q1247	T4	OK	
Q1248	T4	OK	
Q1249	T4	OK	
Q1250	T4	OK	
Q1251	T4	OK	
Q1252	T4	OK	
Q1253	T4	OK	
Q1254	T5	OK	
Q1255	T5	OK	
Q1256	T5	OK	
Q1257	T5	OK	
Q1258	T5	OK	
Q1259	T5	OK	
Q1260	T5	OK	
Q1261	T5	OK	
Q1262	T5	OK	
Q1263	T6	OK	
Q1264	T6	OK	
Q1265	T6	OK	
Q1266	T6	OK	
Q1267	T6	OK	
Q1268	T6	OK	
Q1269	T6	OK	
Q1270	T6	OK	
Q1271	U1	OK	
Q1272	U1	OK	
Q1273	U1	OK	
Q1274	U1	OK	subagent UNSURE, adjudicated OK - an event MINIGAME defines its own rules; a hand inside a self-contained encounter is not a claim about the board
Q1275	U1	OK	
Q1276	U1	OK	
Q1277	U1	OK	
Q1278	U1	STALE	FIXED - a "one-card mini-placement" is vacuous; the mini-act was a miniature show. Now a miniature five-cell line
Q1279	U2	OK	
Q1280	U2	OK	
Q1281	U2	OK	
Q1282	U2	OK	
Q1283	U2	OK	
Q1284	U2	OK	
Q1285	U2	OK	
Q1286	U2	OK	
Q1287	U2	OK	
Q1288	U2	OK	
Q1289	U2	OK	
Q1290	U2	OK	
Q1291	U2	OK	
Q1292	U3	OK	
Q1293	U3	OK	
Q1294	U3	OK	
Q1295	U3	OK	
Q1296	U3	OK	
Q1297	U3	OK	
Q1298	U3	OK	
Q1299	U4	OK	
Q1300	U4	OK	
Q1301	U4	OK	
Q1302	U4	STALE	FIXED - my spot-check: the blurb "Each placement is unlocked by the last" was the act structure; the options are ordered objectives
Q1303	U5	OK	
Q1304	U5	OK	
Q1305	U5	OK	
Q1306	U5	OK	
Q1307	U5	OK	
Q1308	U5	OK	
Q1309	U5	OK	
Q1310	U5	OK	
Q1311	U6	OK	
Q1312	U6	OK	
Q1313	U6	OK	
Q1314	U6	OK	
Q1315	U6	OK	
Q1316	U7	OK	
Q1317	U7	OK	
Q1318	U7	OK	
Q1319	U7	OK	
Q1320	U8	OK	
Q1321	U8	OK	
Q1322	U8	OK	
Q1323	U8	OK	
Q1324	U9	OK	
Q1325	U9	OK	
Q1326	U9	OK	
Q1327	U9	OK	
Q1408	W1	OK	
Q1409	W2	OK	
Q1328	V1	OK	
Q1329	V1	OK	
Q1330	V1	OK	
Q1331	V1	OK	
Q1332	V1	OK	
Q1333	V1	OK	
Q1334	V1	OK	
Q1335	V2	OK	
Q1336	V2	OK	
Q1337	V2	OK	
Q1338	V2	OK	
Q1339	V2	OK	
Q1340	V2	OK	
Q1341	V3	OK	
Q1343	V3	OK	
Q1344	V3	OK	
Q1345	V3	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1346	V3	OK	
Q1347	V3	OK	
Q1348	V3	OK	
Q1349	V4	OK	
Q1350	V4	OK	
Q1351	V4	OK	
Q1352	V4	OK	
Q1353	V4	OK	
Q1354	V4	OK	
Q1355	V5	OK	
Q1356	V5	OK	
Q1357	V5	OK	
Q1358	V5	OK	
Q1359	V6	OK	
Q1360	V6	OK	
Q1361	V6	OK	
Q1362	V6	OK	
Q1363	V6	OK	
Q1364	V6	OK	
Q1365	V6	OK	
Q1366	V7	OK	
Q1367	V7	OK	
Q1368	V7	OK	
Q1369	V7	OK	
Q1370	V7	OK	
Q1371	V7	OK	
Q1372	V7	OK	
Q1373	X1	OK	
Q1374	X1	OK	
Q1375	X1	OK	
Q1376	X1	OK	
Q1377	X1	OK	
Q1378	X1	OK	
Q1379	X1	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1380	X2	OK	
Q1381	X2	OK	
Q1382	X2	OK	
Q1383	X2	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1384	X2	OK	
Q1385	X2	OK	
Q1386	X2	OK	
Q1387	X3	STALE	BUDGET FIXED - "once per act" had become "once per placement", 7-13x its written frequency; now per Entrance refill, which keeps the old cadence
Q1388	X3	OK	
Q1389	X3	OK	
Q1390	X3	OK	
Q1391	X3	OK	
Q1392	X3	OK	
Q1393	X3	OK	
Q1394	X4	OK	
Q1395	X4	OK	
Q1396	X4	OK	
Q1397	X4	RESCOPE	FIXED - every empty cell is reachable by default, so "made unreachable" needed a meaning. Now the engine's own: no held Entrance card has a legal placement there at a refill
Q1398	X4	OK	
Q1399	X4	OK	
Q1400	X4	OK	
Q1401	X4	OK	
Q1402	X5	STALE	FIXED - my spot-check, and a whole-class defect: a scoreless PLACEMENT is the normal case, so every X5 effect fired nearly every card. X5 rewritten onto the scoreless REFILL
Q1403	X5	STALE	FIXED - "the placement limit" does not exist; and the X5 refill rewrite
Q1404	X5	STALE	FIXED - X5 refill rewrite
Q1405	X5	STALE	FIXED - X5 refill rewrite; (c) no longer "loses a placement", which is not a currency
Q1406	X5	STALE	FIXED - X5 refill rewrite
Q1407	X5	STALE	FIXED - X5 refill rewrite
Q1342	V3	DUPLICATE	RETIRED IN PLACE - same space as Q1328 (every card counts as one of two ranks)
Q1410	Y1	OK	
Q1411	Y1	OK	
Q1412	Y1	OK	
Q1413	Y1	OK	
Q1414	Y1	OK	
Q1415	Y1	OK	
Q1416	Y1	OK	
Q1417	Y1	OK	
Q1418	Y2	OK	
Q1419	Y2	OK	
Q1420	Y2	OK	
Q1421	Y2	OK	
Q1422	Y2	ALREADY	FIXED - (a) restated the board plan: a TALENT match already fires the skill's stronger form. (a) now extends it to a match on any property
Q1423	Y2	OK	
Q1424	Y2	OK	
Q1425	Y2	OK	
Q1427	Y3	OK	
Q1428	Y3	OK	
Q1429	Y3	OK	
Q1430	Y3	OK	
Q1431	Y3	OK	
Q1432	Y4	OK	
Q1433	Y4	OK	
Q1434	Y4	OK	
Q1435	Y4	OK	
Q1436	Y4	OK	
Q1437	Y4	OK	
Q1438	Y5	OK	
Q1439	Y5	ALREADY	FIXED - (b) restated board-plan Q15=b, every card in a cell is already compared. Replaced with matching the cell above
Q1440	Y5	OK	
Q1441	Y5	OK	
Q1442	Y6	OK	
Q1443	Y6	CONTRADICTS	FIXED - assumed unmarked cells exist by default; the deal marks every cell. Now keys on cells whose mark an effect destroyed or withheld
Q1444	Y6	OK	
Q1445	Y6	OK	
Q1446	Y7	OK	
Q1447	Y7	OK	
Q1448	Y7	OK	
Q1449	Y7	OK	
Q1450	Y8	OK	
Q1451	Y8	OK	
Q1452	Y8	OK	
Q1453	Y8	OK	
Q1454	Y8	OK	
Q1455	Y9	OK	
Q1456	Y9	OK	
Q1457	Y9	OK	
Q1458	Y9	OK	
Q1459	Y10	OK	
Q1460	Y10	OK	
Q1461	Y10	OK	
Q1462	Y10	OK	
Q1463	Y11	OK	
Q1464	Y11	OK	
Q1465	Y11	OK	
Q1466	Y11	OK	
Q1467	Y12	OK	
Q1468	Y12	OK	
Q1469	Y12	OK	
Q1470	Y12	OK	
Q1471	Y13	OK	
Q1472	Y13	OK	
Q1473	Y13	OK	
Q1474	Y13	OK	
Q1475	Y13	OK	
Q1476	Y13	OK	
Q1426	Y3	DUPLICATE	RETIRED IN PLACE - same space as Q1461 (goal set from the plan's score); a goal belongs to the level
