name,kind,scope,axis,height,grids,rarity,groups,effect,trigger,note,source,status
Reverse-contrast isolation,FX,global,none,no,1,-,art;composition,"Surround a flat, lightly shaded face with hyper-dense background detail so the eye rests on the face.",design,"The reason card art can be simple while the background is busy - it is a feature, not a saving.",draft:764-766,carried
Rhythmic asymmetry,FX,global,none,no,1,-,art;composition,"Pack scenes with floating debris, geometry and halftones so a still image carries carnival motion.",design,"Applies to the picture-wall frames more than to cards, which must stay readable at small size.",draft:767-769,carried
Canvas noise,FX,global,none,no,1,-,art;shader,"Overlay film grain, screen tone and analog texture at the frame edge.",design,"Frame-level, so it costs one full-screen pass and never touches card legibility.",draft:770-772,carried
Neo-vintage fusion,Meta,global,none,no,1,-,art;palette,"Pikazo's dense digital structure with a muted Dr Seuss ink palette - high fidelity, low saturation.",design,"The chosen direction. Off-white ground, three or four muted flats, one unmuted accent.",draft:773-775,carried
Muted flat palette,FX,global,none,no,1,-,art;palette,"Avocado green, dusty mustard, soft sky blue on an off-white paper ground, with high-energy motion on top.",design,The palette entry the palette database should encode as a named ramp.,draft:779-783,carried
Seussian shading fit,Meta,global,none,no,1,-,art;palette,"Seuss used flat unshaded fills inside ink lines, which suits hard-brush shading exactly - the result reads as silk-screened streetwear.",design,Why the two references combine instead of fighting.,draft:786-787,carried
Anachronistic aberration,FX,global,none,no,1,-,art;shader,RGB splitting over a muted palette reads as a misregistered mid-century printing press rather than as an LED screen.,design,"The same shader, a different century, because the palette changed. Good cheap flavour.",draft:788-789,carried
Amplified focus,Meta,global,none,no,1,-,art;composition,"Desaturated backgrounds let the eye navigate dense composition faster, so chaos stops being overload.",design,"The readability argument for the muted direction, which matters on a board of seventy-five cards.",draft:790-791,carried
Art execution formula,Meta,global,none,no,1,-,art;process,"Off-white ground, three or four flats, one iconic accent used only for eyes or one garment, crisp black outlines, hard-edged shading, aberration plus paper-fibre grain to finish.",design,The step-by-step brief any card commission should carry.,draft:795-802,carried
Film-grain transitions,FX,global,none,no,1,-,vfx;transition,Scenes enter as grainy film that resolves into the real moment; transitions look like a film strip slowing then speeding up.,design,"Undo becomes a rewind, and if new scenes arrive from above, undo arrives from below.",draft:803,carried
Record scratch,FX,global,none,no,1,-,audio;juice,A record-scratch sting on an illegal move or a cancelled action.,design,One sound that removes the need for an error message.,draft:804,carried
Undo accrual,Rule,global,none,no,1,-,rule;undo,"Undos accrue every few turns, tracked against the turn number they were earned at, so rewinding time cannot re-grant them.",design,"The bookkeeping that stops undo farming; without it, going back is free power.",draft:807,carried
Rock-paper-scissors suits,Suit,grid-local,cell,no,1,Rare,suit;stacking,A card may only be placed on another if its suit would not lose the matchup; ties resolve by higher rank.,on_can_place_stack,"An elemental cycle would be the natural flavour. It rewrites placement legality wholesale, so it is a rule card.",draft:810-812,carried
Effect-order deck section,View,global,deck,no,1,-,ui;deck,"The deck view's top section lists every effect in firing order, hiding pips that do not affect whether the effect applies.",deck,Question-mark pips collapse duplicates; the pip is revealed when only one card could be meant.,draft:815,carried
Suit variety combo,Rule,grid-local,line,no,1,-,scoring;combo,"Every distinct suit effect that fires adds to the combo, so a rainbow board beats a mono board on multiplier.",on_trigger,The anti-flush pressure that keeps four suits worth playing.,draft:818,carried
Negative ranks,Rank,grid-local,cell,no,1,Rare,rank;gamble,"Ranks below zero, drawn under an inverting shader; props scoring a negative card subtract points but still add combo.",on_score,"Trades points for multiplier, which is a real decision rather than a strict downside.",draft:821,carried
Stacking is a pip rule,Rule,grid-local,cell,no,1,-,architecture;stacking,"Stacking legality is decided by the topmost held card's own suit rule, the same way scoring cascade is decided by the scored card.",on_can_grab_stack,Shipped. It is what lets a single exotic suit carry its own placement rules.,draft:824,carried
Pick up from anywhere,Rule,grid-local,cell,yes,1,-,rule;movement,"Consider dropping pickup rules entirely, since exotic suits make a general pickup rule hard to state.",on_can_grab_stack,Open question in the draft. The grid's answer is that placement is one-way unless an effect says otherwise.,draft:825,carried
Scoring grants spotlight,Rule,grid-local,line,no,1,-,spotlight;scoring,Cards being scored are automatically in the spotlight as the score passes over them.,on_score,Shipped as the section's card list being the spotlight set. Scoring rules cards are live while their hand resolves.,draft:828,implemented
Card art outlines,View,global,none,no,1,-,art;readability,Card art needs outlines because the card background colour is set by type and is not predictable.,design,"A hard art constraint, not a preference.",draft:831,carried
Randomised scoring card,Rule,grid-local,line,no,1,-,scoring;variant,"A rule card that changes which melds are legal each show, American-mahjong style.",on_game_start,"The single best replayability lever the rule deck offers, and a natural blind.",draft:834,carried
Trending talents,Rule,global,none,no,1,-,scoring;variant,"Each show names talents or abilities that score extra, changing what a deck wants that night.",on_game_start,Same idea pointed at cards rather than melds. Pairs with the tastes-of-the-town blinds.,draft:835,carried
Game inspirations index,Meta,global,none,no,1,-,reference;research,"The card-game survey that follows is the mining ground for melds, restrictions and blind objectives.",design,Every game below yields at least one mechanic; that is what the survey is for.,draft:838,carried
Mahjong melds,Meld,grid-local,line,no,1,-,meld;mahjong,"Classic mahjong hands as an extension of the poker vocabulary - small straights of three, triplets and pairs.",on_score,Fits the five-card line better than fourteen-tile hands do.,draft:839-841,carried
Dragon suits,Suit,grid-local,line,no,1,Rare,suit;mahjong,"Non-standard suits stand in for dragons, which implies more than three ranked suits and more than three dragons.",on_score,"Winds are rejected in the draft as too directional - though the grid now has directions, so they are worth revisiting.",draft:842,carried
Mini hands,Meld,grid-local,line,no,1,Uncommon,meld;mahjong,"A hand is one triplet plus a pair, scaling upward with each extra triplet, rather than a full fourteen-tile hand.",on_score,Sized to a five-card line. Four triplets and a pair is a whole-grid objective instead.,draft:843,carried
Unsorted melds,Rule,grid-local,line,no,1,-,meld;ruling,Mahjong-style melds do not require the cards to be in order within the line.,on_score,"Distinguishes them from runs, which do. A useful second axis for line design.",draft:844,carried
Mahjong discard,Skill,grid-local,cell,no,1,Uncommon,discard;movement,Discard any card in a grid that belongs to no meld - a card with no connection to anything in its column.,on_trigger,"The half-the-fun-is-discarding note, made spatial. Only fires on genuinely dead cards.",draft:845,carried
Themed meld rotation,Rule,grid-local,line,no,1,-,scoring;variant,"Each run names a few themed melds that score extra, so a different strategy is favoured each time.",on_game_start,"Same shape as trending talents, aimed at melds. Both belong in the rule deck.",draft:846,carried
Cloud swirl shader,FX,global,none,no,1,-,vfx;shader,Swirling cloud shaders as reference for the map's weather and the wall's backdrops.,design,Reference. Clouds can double as a picture frame on the map.,draft:849,carried
Gaussian glow with grain,FX,global,none,no,1,-,vfx;shader,"Colour-shifted Gaussian glow with grain, as reference for the lighting treatment.",design,Reference. Pairs with the blending-mode glow entry.,draft:852,carried
Cork-board map UI,View,global,none,no,1,-,ui;map,"The map reads as a pinned cork board, but the pins are circus posters.",map,Diegetic and it makes route planning feel like planning.,draft:855,carried
Frame-reveal transitions,FX,global,none,no,1,-,vfx;transition,Zooming out reveals the full frame around the image; transitions pan between differently framed images and zoom back in.,design,Shipped in shape by the picture wall. Undo reuses the same motion in reverse.,draft:858,carried
Confetti cone,FX,global,none,no,1,-,vfx;juice,"Confetti fired in a cone, with long streamers dropping from above.",on_after_score,The score celebration; scale it with the size of the score.,draft:859,carried
Diegetic UI wall,View,global,none,no,1,-,ui;wall,"All UI is one 2D space the camera pans around, like looking at a wall of framed photographs; the hub is a museum.",design,Shipped as the picture wall. The wide grid board is exactly what its saved pan exists for.,draft:862-863,carried
Framed start screen,View,global,none,no,1,-,ui;wall,The start screen is itself a framed picture that zooms out when a tent is chosen; three tents are offered.,menu,"Three tents is the run-start choice - deck, difficulty and route in one gesture.",draft:864-865,carried
Living photographs,FX,global,none,no,1,-,vfx;wall,"Framed images on the wall are animated, not static.",design,Cheap life for a static hub.,draft:866,carried
Floating info cards,View,global,none,no,1,-,ui;info,"In info mode, descriptions appear as floating notecards along the bottom of the screen.",design,"Keeps explanation off the board, which matters on a board this wide.",draft:867,carried
Info card history,View,global,none,no,1,-,ui;info,"Each info card opened goes into its own tab, so several can be compared side by side.",design,The right answer for a game where a combo spans four cards' text.,draft:868,carried
Back-tween motion,FX,global,none,no,1,-,vfx;juice,Every motion overshoots slightly and anticipates before it starts.,design,Shipped in the grid's growth ease and spring.,draft:871,implemented
Mult is one per effect,Rule,grid-local,line,no,1,-,scoring;combo,The multiplier is simply plus one per distinct effect activated.,on_trigger,Shipped. The simplicity is the feature - every card visibly matters.,draft:874,implemented
Clockwork theme,Meta,global,none,no,1,-,theme;magic,Robert-Houdin's impossible clockwork machines as a design register for automata cards.,design,The Roman-numeral rank and the time-advancing effects belong to this family.,draft:877,carried
Mystery Clock,Skill,grid-local,cell,no,1,Rare,info;time,A card with no visible mechanism that nonetheless announces when the next scoring line will complete.,on_board_mutated,"Robert-Houdin's glass clock. Information as a card, which the game has too little of.",draft:880,carried
Singing Lesson,Skill,grid-local,x,no,1,Uncommon,buff;combo,Teaches an adjacent card one of its own triggers for the rest of the show.,on_card_placed,Copying a trigger rather than an effect keeps it from being a strict upgrade.,draft:881,carried
Marvelous Orange Tree,Skill,grid-local,y,no,1,Epic,growth;creation,"Grows over successive refills - budding, flowering, then fruiting a card into its own column.",on_refill,Robert-Houdin's masterpiece. A card that pays out only if you protect its column for the whole show.,draft:882,carried
Pastrycook of Palais-Royal,Skill,grid-local,cell,no,1,Rare,creation;economy,Cue to order a card by name from the discard; it is delivered to the Entrance next refill.,on_trigger,The automaton that fetched pastries on request. Targeted recursion with a delay.,draft:883,carried
Ethereal Suspension,Skill,grid-local,h,yes,1,Rare,movement;protection,The card above this one floats - it neither blocks the spotlight nor counts toward stack height.,on_stack_cards,"Robert-Houdin's levitation, and a direct counter to the cost of building tall.",draft:884,carried
The Bullet Catch,Skill,grid-local,cell,no,1,Legendary,gamble;scoring,"Scores ten times its rank while spotlit, with a one-in-thirteen chance of destroying itself instead.",on_score,The trick that killed Chung Ling Soo. The purest near-miss in the design.,draft:887;recs:167,carried
Endless Bag,Skill,global,deck,no,1,Rare,creation;economy,Cue to pull a random basic card out of nowhere into the Entrance; never runs out.,on_trigger,Infinite chaff is a real resource in a game where placement is the constraint.,draft:888,carried
Eating Contest,Skill,grid-local,cell,yes,1,Uncommon,destruction;growth,Consumes every card in its own stack at show end and scores their combined rank.,on_game_end,A stack-capper that pays for building tall and then dismantles it.,draft:889,carried
Dog of 113 Tricks,Skill,grid-local,cell,no,1,Epic,combo;meta-effect,"Each time a distinct effect fires anywhere this show, this card gains a permanent point, up to 113.",on_trigger,Rewards a rainbow board over a whole run rather than a whole line.,draft:890,carried
Free Pigs,Skill,global,deck,no,1,Uncommon,economy;creation,Gives a random card away to the audience - remove it from the deck and gain two tokens.,on_trigger,Barnum's giveaways. A thinning effect that pays instead of costing.,draft:891,carried
Ventriloquist,Skill,grid-local,x,no,1,Rare,meta-effect;copy,"An adjacent card's skill triggers as though it were this card's, from this card's position.",on_trigger,Relocating a trigger is a placement puzzle disguised as a copy effect.,draft:892,carried
Spirit Medium,Skill,grid-local,h,yes,1,Rare,movement;secret,"Cards stack themselves - at each refill, one loose card moves to a legal stack on its own.",on_refill,"Auto-moving cards give the board a life of its own, which is unnerving in the right way.",draft:893,carried
Teleport Boxes,Skill,grid-local,x,no,2+,Rare,movement;formation,"Cue to swap the contents of two cells, in any grids.",on_trigger,The cross-grid swap. Its whole value comes from there being more than one grid.,draft:894,carried
Levitation,Skill,grid-local,h,yes,1,Uncommon,movement,"Cue to raise this card one height level, leaving a gap beneath it that the next placement fills.",on_trigger,A verb only the fourth coordinate could support.,draft:895,carried
Narrative acts,Meta,global,none,no,1,-,theme;narrative,Presentation framed as plays and stories rather than as isolated tricks.,design,The scaffolding for quest-shaped effects that must fire in order.,draft:896,carried
Fake props,Type,grid-local,cell,no,1,Common,type;secret,"A set-piece card that looks like a real card until it is scored, then reveals itself as worthless.",on_score,The Gaff. Its value is entirely in what an opponent or a blind believes about it.,draft:897,carried
Illusion film,Meta,global,none,no,1,-,theme;narrative,Melies-style combination of illusion and narrative as the register for the game's own presentation.,design,The film-grain transitions belong to this idea.,draft:898,carried
Golden Witch,Skill,grid-local,cell,no,1,Epic,economy;destruction,Spawns Gold cards onto the board through the show; every one of them detonates at show end.,on_refill,Free money with a timer - the board fills with wealth you must spend before it goes off.,draft:901,carried
Narrative cards,Skill,grid-local,x,no,1,Legendary,narrative;formation,"Protagonist and villain cards that play out a story across the board, scoring when their scenes complete in order.",on_card_placed,"The quest-shaped effect. Expensive to author, memorable when it lands.",draft:902,carried
The Dead List,Rule,global,deck,no,1,-,architecture;destruction,"A separate collection for cards removed from play entirely, distinct from the discard, with its own board.",on_discard,Naming it gives removal effects somewhere to point and a card family somewhere to fish from.,draft:905,carried
Poltergeist,Skill,grid-local,cell,no,1,Rare,movement;pip,"Vanishes an object - removes a card's suit, or repaints it to another suit already on the board.",on_trigger,The colour-changing half is the useful half; the vanishing half is the Clown class's job.,draft:906,carried
Crystal Ball,Skill,global,deck,no,1,Rare,info;deck-manip,"Reveals the next several cards of the deck, as though the answers had been researched in advance.",on_trigger,The mitt-camp research gag makes the information feel earned rather than magical.,draft:907,carried
Self-Help Books,Skill,global,deck,no,1,Uncommon,economy,Sell copies between shows - gain tokens scaled to how much fame the last show earned.,on_game_end,Turns a good show into money without touching the score axis.,draft:908,carried
Snake Charmer,Skill,grid-local,y,no,1,Uncommon,movement;formation,Cards in this column drift one cell toward this card at each refill.,on_refill,"Slow gravity, which lets a player set up a formation over several refills.",draft:909,carried
Tax Evasion,Event,global,deck,no,1,-,event;economy,Hold too many cards and the authorities take a cut of the deck; bribery and blackmail are the alternatives offered.,map,"The consequence event for hoarding, and the counterweight to cards-as-currency.",draft:910,carried
Disappearing Birdcage,Skill,grid-local,cell,no,1,Uncommon,creation;destruction,"Cue to remove this card and a neighbour from the board, returning both to the deck.",on_trigger,"A reset button for a bad placement, which the one-way grid badly needs.",draft:913,carried
The Vanishing Chair,Skill,grid-local,cell,no,1,Rare,movement;protection,At the end of each refill this card vanishes and reappears in a different empty cell of its grid.,on_refill,"Unpredictable but grid-local, so it never leaves the plan you built it into.",draft:914,carried
Multiplying Balls,Skill,grid-local,y,no,1,Rare,creation;suit,"When a Balls card scores in this column, add a copy of it to the Entrance.",on_score,"The suit-specific engine card, and the reason to commit a grid to one suit.",draft:915,carried
Expanding Dice,Skill,grid-local,cell,no,1,Uncommon,growth;rank,"Grows a rank each time a line containing it scores, without limit.",on_score,"Simple, visible growth. The cap is how long you can protect the cell.",draft:916,carried
Nested Boxes,Skill,grid-local,h,yes,1,Epic,combo;h,"Scores once for each card beneath it in its stack, each time multiplying rather than adding.",on_score,"The card that most rewards a tall stack, and therefore the one that most needs a cost.",draft:919,carried
Self-Playing Instrument,Skill,grid-local,cell,no,1,Rare,meta-effect;charges,Triggers itself once per refill without being cued.,on_refill,Automation as a card. It makes charges accumulate rather than expire.,draft:920,carried
Floating Head,Skill,grid-local,h,yes,1,Rare,movement;spotlight,"This card's skill detaches and floats over its grid, staying spotlit wherever it is buried.",on_spotlight,"The theatrical version of the always-active stamp, with the art to justify it.",draft:921,carried
The Band,Skill,grid-local,line,no,1,Uncommon,combo;class,Scores extra for every distinct class present in its own line.,on_score,The rainbow reward at line scale rather than board scale.,draft:922,carried
Velocipede,Skill,grid-local,x,no,1,Uncommon,movement,"Cue to roll this card along its row until it hits an occupied cell, scoring each empty cell it crosses.",on_trigger,"Movement that pays for empty space, which nothing else does.",draft:925,carried
Human Cannonball,Skill,grid-local,x,yes,2+,Rare,movement;formation,Cue to fire the bottom card of any stack into another grid's matching cell.,on_trigger,Reaches the unreachable card - the solitaire fantasy - and crosses grids doing it.,draft:926;recs:187,carried
Vaudeville reference,Meta,global,none,no,1,-,reference;research,"The vaudeville bill as a structure - seven to ten unrelated acts ordered to open safe, calm the middle and finish enormous.",design,Reference for pacing a show and for how a run's nodes should be ordered.,draft:927,carried
The Bill,Rule,global,none,no,1,-,structure;flow,"A show is ordered like a vaudeville bill - a silent opener that survives latecomers, novelty in the middle, the star second from last, and a closer that clears the room.",design,A pacing template for node ordering within a city.,draft:928,carried
Noah's Ark Box,Skill,global,deck,no,1,Epic,creation;class,"Cue to pour out a flood of animal-class cards into the deck, one per Animal Trainer card already owned.",on_trigger,"Scales with commitment, which is the right shape for a legendary payoff.",draft:931,carried
Flower Cards,View,global,none,no,1,-,art;cosmetic,Cards cut into flower shapes as a cosmetic card back or a pack variant.,design,"Cosmetic only, but it is a strong pack identity.",draft:934,carried
Sleight of Hand,Skill,grid-local,x,no,1,Rare,movement;secret,"Cards moved by effects sometimes land one cell off on purpose, and this card profits when they do.",on_board_mutated,"Deliberate imprecision as a mechanic - risky, funny, and only viable with an undo.",draft:937,carried
Bricks from Hats,Skill,grid-local,cell,no,1,Uncommon,creation;stamp,Cue to convert this card's stamp into a token card placed in an empty cell.,on_trigger,"Turns equipment back into material, which gives stamps a floor value.",draft:940,carried
Roast to Live Chicken,Skill,global,deck,no,1,Rare,creation;deck-manip,Cue to bring one card back from the discard as a fresh copy at full rank.,on_trigger,Recursion with a transformation attached so it never feels like a plain undo.,draft:941,carried
Blindfold Knife Throw,Skill,grid-local,x,no,1,Epic,gamble;destruction,Cue to name a rank; a knife destroys one random card in the row and scores hugely if it was that rank.,on_trigger,Called-shot gambling. The showmanship is in naming it out loud before the throw.,draft:942,carried
The Shuffle,Skill,grid-local,grid,yes,1,Epic,movement;gamble,"Flips every card in a grid face down, randomises their positions, then reveals the topmost of each stack.",on_trigger,"Total spatial reset. Terrifying, occasionally exactly what a stuck board needs.",draft:943,carried
Planted Props,Skill,global,deck,no,1,Rare,deck-manip;secret,"Cue to plant a card at a chosen depth in the draw deck, to be produced at exactly the right moment.",on_trigger,Prepping hours in advance is the actual trick; the card is just bookkeeping for it.,draft:946,carried
Fake Book Cover,Stamp,grid-local,cell,no,1,Uncommon,stamp;secret,This card displays another card's name and art until it scores.,on_score,"Misdirection as a stamp, and the mechanical partner of the Gaff.",draft:947,carried
Linking Rings,Skill,grid-local,x,no,2+,Rare,formation;combo,Cards of the Hoops suit in the same row across separate grids count as one continuous line.,on_score,The long-row rule as a card. Directly rewards playing several grids at once.,draft:950,carried
Straitjacket over Spikes,Skill,grid-local,cell,no,1,Rare,protection;gamble,Starts immobilised over a hazard; frees itself and pays double if its line scores before the show ends.,on_score,The escape is the payoff. A self-solving problem with a deadline.,draft:951,carried
Niagara Crate,Skill,grid-local,h,yes,1,Epic,protection;movement,"Cue to seal this card and everything above it; the stack is out of play until the next refill, then returns intact.",on_trigger,Protects a built stack from a hazard at the cost of a refill's scoring.,draft:952,carried
Tornado of Fire,Skill,grid-local,y,no,1,Epic,hazard;suit,"Cue to set a column alight - every card in it gains Burning, and any card placed there this show gains it too.",on_trigger,Turns a column into a commitment. Pairs with anything that pays for Burning.,draft:953,carried
Escapology suite,Meta,global,none,no,1,-,class;research,"Jails, crates, safes, chains and manacles as the vocabulary for the Escape Artist class's restraint cards.",design,Each restraint is a different immobilisation with a different release condition.,draft:956,carried
Prince of the Air,Leader,grid-local,h,yes,1,Legendary,leader;movement,Leader whose cards may always move upward through a stack regardless of stacking rules.,on_game_start,The Acrobat leader. Height is its whole identity.,draft:957,carried
King of Cards,Leader,global,deck,no,1,Legendary,leader;deck-manip,Leader who may look at and reorder the top of the deck every refill.,on_game_start,The Fortune Teller leader. Information rather than power.,draft:958,carried
Lockpicking,Skill,grid-local,cell,no,1,Uncommon,protection;rule,"Cue to free any one immobilised or restricted card, including one restricted by a blind.",on_trigger,"The counterplay card blinds need to exist for. Without it, restriction blinds are pure tax.",draft:959,carried
Buried Alive,Skill,grid-local,h,yes,1,Rare,gamble;h,"Scores enormously if it is buried under three or more cards when the show ends, and nothing otherwise.",on_game_end,Inverts every instinct the spotlight system trains. A deliberate contrarian card.,draft:960,carried
Timed Consumption,Rule,grid-local,cell,no,1,-,rule;destruction,"Removing a card from play for a fixed number of refills, after which it returns, rather than removing it forever.",on_refill,"The mechanic behind Milk Can and the crate. Removal with a return is a tempo tool, not a loss.",draft:961,carried
Metamorphosis,Skill,grid-local,x,no,2+,Rare,movement;deck-manip,"Cue to swap this card with any card in the draw deck, seen or unseen.",on_trigger,Houdini and Bess's substitution trunk. A controlled gamble with a body.,draft:962;recs:166,carried
Vanishing Elephant,Skill,grid-local,grid,yes,1,Legendary,destruction;h,Cue to remove the entire contents of one cell's stack from play; score for every card removed.,on_trigger,"The largest single removal in the game, which is exactly what makes it a headline act.",draft:963,carried
Water Torture Cell,Skill,grid-local,cell,no,1,Epic,gamble;time,"Cue to start a three-refill timer; if this card's line has not scored by then, it is destroyed - if it has, it scores triple.",on_refill,A deadline the player sets themselves. Tension without randomness.,draft:964,carried
Walking Through Walls,Skill,grid-local,x,no,2+,Epic,movement;formation,"This card may be placed into an occupied cell, pushing its occupant into the neighbouring grid's matching cell.",on_can_place_stack,"The clearest cross-grid verb, and it needs the row alignment rule to be legible at all.",draft:965,carried
Rising Cards,Skill,global,deck,no,1,Uncommon,deck-manip;creation,Named cards rise out of the deck on their own and arrive in the Entrance at the next refill.,on_refill,"The classic effect, and a clean tutor.",draft:968,carried
Disembodied Princess,Skill,grid-local,h,yes,1,Rare,spotlight;h,Only the top half of this card is ever covered - it stays spotlit no matter how tall its stack grows.,on_spotlight,"The illusion and the mechanic are the same picture, which is the ideal for this game.",draft:969,carried
Floating Ball,Skill,grid-local,y,no,1,Uncommon,suit;prop,"Cue to send a hoop prop around a Balls card to prove it is unsupported, scoring both.",on_trigger,A two-suit combo card that reads as an actual trick.,draft:970,carried
Fake Blood,Skill,grid-local,cell,no,1,Rare,gamble;secret,"Appears to destroy an adjacent card; it is only hidden and returns next refill, scoring for the fright.",on_trigger,Payoff for the audience believing something went wrong - the risk essay in one card.,draft:971,carried
Indian Rope Trick,Skill,grid-local,h,yes,1,Epic,movement;h,"Cue to raise a column of cards into a new stack in a single cell, climbing them all upward.",on_trigger,"Converts spread into height, which is a whole strategy pivot in one action.",draft:974,carried
Tire Trick,Skill,grid-local,h,yes,1,Rare,movement;protection,"Cue to dismantle a stack, hiding its cards; rebuilding the stack later returns them all.",on_trigger,Storage that reads as a trick. Pairs with any hazard that targets a stack.,draft:975,carried
Everlasting Flame,Skill,grid-local,cell,no,1,Rare,status;suit,"Burning applied by this card is not removed by anything, including effects that clear statuses.",on_score,"The counter to status removal, and a reason to keep a Flames build honest.",draft:978,carried
Human Card Index,Skill,global,deck,no,1,Legendary,deck-manip;info,"Cue to name any rank and suit; if that card exists anywhere in your collections, it arrives in the Entrance.",on_trigger,"The perfect tutor, and the historical act is exactly this - over forty pockets and hundreds of items.",draft:981-982,carried
Bullfight,Skill,grid-local,x,no,1,Rare,hazard;gamble,"A charging prop crosses the row; cards that dodge score, cards that do not are destroyed.",on_score,A prop that can lose you cards is the risk-reward shape hazards should have.,draft:985,carried
The Sawing,Skill,grid-local,cell,no,1,Uncommon,creation;rank,"Cue to split a card into two cards of half its rank, same suit, placed in adjacent cells.",on_trigger,Rank arithmetic as a tool - fabricate a run on demand.,draft:986,carried
The Expert at the Card Table,Skill,global,deck,no,1,Legendary,secret;deck-manip,Signed by an author nobody can identify; collecting every card bearing the signature unlocks something never explained.,on_game_start,"The Erdnase cipher. One field on a card, and the community does the rest.",draft:987,carried
Signed Card,Stamp,global,deck,no,1,Rare,stamp;persistence,"When this card leaves the board, the next card created anywhere is this exact card instead.",on_discard,"Identity that survives destruction, which no other effect provides.",draft:988,carried
Misdirection,Skill,grid-local,x,no,1,Uncommon,spotlight;formation,"While spotlit, the lowest covered card in each adjacent column is also spotlit.",on_spotlight,A spatial aura - one placement relights a whole region of the board.,draft:991;recs:169,carried
Cups and Balls,Skill,grid-local,x,no,1,Common,movement;secret,Cue to shuffle the positions of three adjacent face-down cards.,on_trigger,"The oldest trick recorded, and a fine cheap tutorial for the hidden-card rules.",draft:992,carried
Collection names,Meta,global,none,no,1,-,naming;architecture,"The collections are named - the Dead List for removed cards with its own board, Backstage, the Grand Entrance, the Ring, and the Magic Deck for rules.",design,Vocabulary that the code partly adopted; the Dead List is still unbuilt.,draft:995-999,carried
Rest Area,Rule,global,none,no,1,-,naming;flow,A named between-shows collection where cards recover from statuses and exhaustion.,on_game_end,Gives rest-based costs like Maximum Effort somewhere to point.,draft:1000,carried
Mentalist,Skill,global,deck,no,1,Rare,info;gamble,"Cue to predict a future board state; if it comes true this show, score enormously.",on_board_mutated,"Rewards reading the deck and the grid together, which nothing else asks for.",draft:1003,carried
Magic musicals,Meta,global,none,no,1,-,theme;narrative,"Magic staged as a musical number rather than as a trick, as a presentation register.",design,"Supports the effect-art pop-up idea - a fired effect is a number, not a notification.",draft:1004,carried
Turning Back Time,Skill,global,none,no,1,Epic,undo;protection,"Cue to undo the last placement without spending an undo, framed as covering an accident.",on_trigger,Undo as a card is powerful precisely because the grid commits placements.,draft:1005,carried
Ground acrobatics,Meta,grid-local,cell,no,1,-,class;research,"Hand-walking, cartwheels, contortion, splits and somersaults as the Acrobat class's art vocabulary.",design,Art reference for a class whose cards are all movement verbs.,draft:1008,carried
Arena spectacle,Meta,global,none,no,1,-,theme;research,"Chariot races, gladiators, animal baiting - the Roman ancestor of the ring, and the source of the word circus.",design,"The oldest layer of the theme, and the reason Roman numerals are a rank skin.",draft:1009,carried
Medieval troupe,Meta,global,none,no,1,-,theme;research,"Tumblers, dancers, musicians, jesters, caravans and aerialists travelling together as one company.",design,"The troupe-as-deck framing, sourced.",draft:1010,carried
Funambulist,Skill,grid-local,x,no,1,Rare,movement;gamble,"Crosses its row one cell per refill; if it reaches the far end it scores hugely, and any disturbance drops it.",on_refill,Rope walking as a multi-turn commitment the opponent - or a blind - can interrupt.,draft:1011,carried
Slack Rope,Skill,grid-local,x,no,1,Uncommon,movement;formation,"This card may be placed between two occupied cells, shifting both outward.",on_can_place_stack,"Mountebanks walked slack ropes. An insertion verb, which the grid otherwise lacks.",draft:1012,carried
Hubris,Status,grid-local,cell,no,1,-,status;gamble,A card that has scored hugely gains Hubris and risks a penalty on its next score.,on_after_score,"The bad-luck-for-hubris tradition, and a soft cap on repeat scoring.",draft:1013,carried
Endurance feats,Skill,grid-local,cell,no,1,Rare,gamble;status,"Coal walking, boiling oil, fire swallowing - cards that score for surviving a hazard they were placed into deliberately.",on_card_placed,The template for any card that wants a blind to exist.,draft:1014,carried
Animal novelty,Skill,grid-local,x,no,1,Common,class;formation,"Upright dogs, costumed monkeys, dancing turkeys - low-rarity Animal Trainer cards that score for adjacency to their trainer.",on_score,The common tier of a class needs cheap adjacency cards like these.,draft:1015,carried
Costumed Acrobat,Skill,grid-local,cell,no,1,Uncommon,class;copy,An Acrobat dressed as a beast counts as an Animal card as well as an Acrobat.,on_score,Class splashing with a historical excuse. The Greasepaint stamp generalises it.,draft:1016,carried
Trained Bear,Skill,grid-local,h,yes,1,Uncommon,stacking;destruction,Eats the card directly above it at each refill and gains its rank.,on_refill,"Height gives the bear a queue to work through, which paces it naturally.",draft:1017,carried
Puppet,Skill,grid-local,x,no,1,Uncommon,copy;meta-effect,Copies the skill of the card to its left for as long as that card remains in play.,on_board_mutated,Puppetry as a copy effect with a visible string - the dependency is the drama.,draft:1018,carried
Potion Seller,Skill,global,deck,no,1,Common,economy;consumable,Cue to sell a card from the deck for tokens; the buyer is never seen again.,on_trigger,Saltimbanque economics. A thinning outlet inside a show rather than at a shop.,draft:1019,carried
Pickpocket,Skill,global,deck,no,1,Uncommon,economy;deck-manip,"If this card ends the show without ever scoring, it adds a stolen card to the deck.",on_game_end,"Rewards not playing a card, which almost nothing else does.",draft:1020,carried
Commedia playlet,Meta,global,none,no,1,-,theme;research,Short pantomimes and playlets predate clowning and are its source; commedia dell'arte is the ancestor.,design,Sourcing for the Clown class and for the narrative-cards idea.,draft:1021,carried
