name,kind,state,evidence,scope,axis,needs_height,needs_grids,effect,next_step,source
vampire survivors,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"vampire survivors: vampires begin eating cards at the edge, eating in n turns and you have to play all of them to remove",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 26-19
amogus,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,"amogus: a card is fake, when played lose score, but the card will not follow rules on certain turns, find card to remove (edited)",owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 28-19
5d card with multiverse time travel,raw idea,proposed,no acceptance mark exists in this file - it is an unsorted brainstorm sheet,,,,,5d card with multiverse time travel: send a card into the past and play that board until to the present where the timelines clash and only differences remain,owner to mark accept or reject; the post-grid effects CSV carries the restated version,random potential effects.csv cell 30-19
Harlequin pip,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,line,no,1,Dual-suit: counts as two suits at once,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:103
The Gaff,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,"Wild pip that *pretends*: shows a fixed rank/suit until scored, then reveals its true random value",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:104
Half-step rank,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,h,yes,1,"Rank 5½ etc. — stacks between 5 and 6, never melds",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:105
The Fifteen,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"This card also melds with any neighbors summing to 15 (cribbage rule, per your abandoned v1 scoring)",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:106
Roman numeral rank,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,none,no,1,Cosmetic rank skin; melds normally,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:107
The Blank,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"No rank, no suit; stacks on anything, anything stacks on it; scores 0",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:108
Canvas,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Sturdy default for circus-born cards (upgrade of Paper),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:118
Sawdust,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"When discarded, leaves a ""sawdust"" marker on its board slot; next card placed there gets +points",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:119
Rosin,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Sticky: cards placed on it cannot be picked up again (but score +1 ring deeper),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:120
Tintype,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"Photograph card: on acquisition, permanently copies the pips of the card it was created from",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:121
Lithograph,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"Poster card: while in the Entrance (not the Ring), broadcasts its skill globally",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:122
Glass,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Double points when scored; shatters (destroyed) after 3 scores,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:123
Wax,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Melts near Flames: rank slowly decreases each show it shares a column with a Flame card,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:124
Ticket Stub,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Consumed as currency at shops for a discount; worthless in the Ring,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:125
Flash,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"Scores triple but only ever once per show, the first time it would score",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:126
Spangle,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,+1 combo when this card is part of any meld,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:136
Greasepaint,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,This card counts as a Clown (class) in addition to its own class,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:137
Top Billing,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,This card always scores first in its meld (trigger-order control),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:138
Understudy,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"If the card above it in the stack is destroyed/consumed, this card copies its skill",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:139
Lloyd's Policy,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"The first time this card would be destroyed or debuffed, prevent it",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:140
Ghost Light,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Does not block the Spotlight of cards beneath it,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:141
The Encore,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"If this card's skill triggered this show, 50% chance it triggers once more at show end",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:142
Contract Ink,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,+X points per show it's played; leaves the troupe (deck) if benched two shows in a row,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:143
Brass Check,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,"On trigger, mint a Gold card to the top of the deck",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:144
The Egress,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,"Cue: send any card on the board straight to the discard, gain 1 Ticket Stub",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:156
Humbug,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,yes,1,Counts as a copy of the most valuable card in the same row while covered; reveals as junk (rank 2) when spotlit,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:157
White Elephant,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,"Huge points when scored, but each show it stays in your deck, eat 1 Gold card",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:158
The Red Wagon,recommendation,proposed,"agent proposal, no owner mark recorded",global,y,no,1,All Gold cards in the deck count toward every column run as wildcards while this is spotlit,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:159
Pink Lemonade,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,1,"When a Flames card and a Concessions card score in the same row, +bonus and draw 1",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:160
Metamorphosis,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,2+,Cue: swap this card with any card in the draw deck (seen or unseen),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:166
The Bullet Catch,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,Score = 10× rank when scored in the Spotlight; 1-in-13 chance it is destroyed instead,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:167
Sawing in Half,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,"Cue: split a card into two cards of half rank (rounded up/down), same suit",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:168
Misdirection,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,1,"While spotlit, the leftmost covered card in each adjacent column is also spotlit",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:169
Clown Car,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,y,no,1,"On Next: draw an extra card into this card's column, +1 more per Clown scored last submit",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:175
Slapstick,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,1,Cue: swap the ranks of this card and one adjacent card,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:176
Custard Pie,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,1,"Throw (cue): target card's suit becomes Balls; if that completes a flush row, +mult",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:177
Weary Willie,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,Gains +1 rank permanently every time one of your cards is destroyed or a show is failed,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:178
The Leotard,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,h,yes,1,Cue: move this card and everything above it to any column (legal or not),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:184
Blondin's Crossing,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,2+,"Once per show: move an entire row one column left or right, wrapping",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:185
The Triple,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,1,"If this card ends a run of exactly 3 that was assembled this turn, score it 3×",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:186
Human Cannonball,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,yes,2+,Cue: fire the bottom card of any column to the top of another column,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:187
Jumbo,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,h,yes,1,Heavy. Cards cannot be placed on Jumbo; Jumbo can be placed on anything; +points per card beneath it when scored,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:193
Flea Circus,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,line,no,1,Scores as if it were 5 cards of rank 1 for combo-counting purposes,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:194
Liberty Horses,recommendation,proposed,"agent proposal, no owner mark recorded",global,x,no,1,"On Next, all Horse... all Animal-tagged cards in the Entrance rearrange themselves into ascending order",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:195
Mabel's Tigers,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,yes,1,Consumes the card it's dropped on (like Gluttony) but ONLY prop cards; +rank each meal,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:196
Straitjacket,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,Starts each show unable to be moved; frees itself (and +points) when its column scores,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:202
Milk Can,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,Place a card inside (cue); it's out of play; retrieve it any later turn,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:203
Wall of Death,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,y,no,1,Adjacent columns score +mult but cards there take 1 Exhaust debuff per show,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:204
The Séance Buster,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Reveals all Gaff/Humbug/fake cards on the board; +points per fake revealed,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:205
The Tarot Reading,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,"Cue: look at the top 5 cards of the deck, reorder them",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:211
Madame Zora's Eye,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,The next-drawn card is always visible above the deck slot,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:212
The Major Arcana,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,Legendary (series),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:213
Calliope,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,+combo for every DIFFERENT class that scored this submit,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:219
Grand Spec,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,grid,no,1,"If all columns scored this submit, double the show's combo",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:220
Drumroll,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,line,no,1,The last meld scored this submit gets +mult,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:221
Fairy Floss,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,x,no,1,"When scored, sweeten adjacent cards: +1 rank this show",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:227
The Grease Joint,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,"At show start, feed the bottom card of the deck to the discard; draw 1",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:228
Peanut Pitch,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,"Cue (3 charges): +points to any one card, thrown from anywhere",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:229
Mud Show,recommendation,proposed,"agent proposal, no owner mark recorded",global,none,no,1,Movement tax: picking up any stack costs 1 discard,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:263
The Fire Marshal,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Flames-suit cards cannot score; Flames in deck become Wax,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:264
Temperance Town,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Concessions class disabled; shop prices doubled,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:265
Lot Lice,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Your first submit each show scores 0 fame (they watched free),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:267
The White Elephant War,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,"A rival gifts you a White Elephant card: huge points, drains gold. Take it or insult them (next Rival Show is harder)",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:291
The Egress,recommendation,proposed,"agent proposal, no owner mark recorded",grid-local,cell,no,1,"A mysterious sign. Follow it: skip this node entirely (no reward, no risk)",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:292
First of May,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,A rookie joins: gain a random Common with a hidden growth condition (upgrades if it scores 10 times),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:293
Cutting Up Jackpots,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,Old troupers swap tall tales: reroll any one card in your deck into another of the same class,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:294
Cherry Pie,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,"Extra work for extra pay: take a debuff card for this show, gain gold cards",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:295
The Museum of Humbugs,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,Buy a Gaff card cheap — it MIGHT be real (small chance it's actually a Legendary),owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:296
Séance Night,recommendation,proposed,"agent proposal, no owner mark recorded",,,,,Houdini-style challenge: expose the fake (pick the Gaff out of 3 face-down cards) for a reward,owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:297
The Pie Car,recommendation,proposed,"agent proposal, no owner mark recorded",global,deck,no,1,"Rest node: heal one debuff, or gamble at the crew's card game (Three-Card Monte — obviously rigged, tiny chance of big win)",owner to mark accept or reject,DESIGN_RECOMMENDATIONS.md:298
